,Provinsi,Tahun,Jumlah Curah Hujan (mm),Jumlah Hari Hujan (hari),Tekanan Udara (mb),Penyinaran Matahari (%),Suhu (?C),Kecepatan Angin (m/det),Kelembaban
79,Jawa Barat,2013,2682.0,240.0,923.1,59.0,23.5,3.0,77.0
80,Jawa Tengah,2013,2628.0,187.0,1010.02,68.5,28.02,10.3,78.18
81,DI Yogyakarta,2013,2309.0,149.0,1014.8,49.96,26.2,4.3,86.2
82,Jawa Timur,2013,2270.0,181.0,1008.01,61.92,27.9,19.25,79.19
83,Banten,2013,3573.0,206.0,1009.3,78.0,27.0,2.3,81.0
84,Bali,2013,2155.1,157.0,1009.2,75.0,27.4,6.1,80.0
85,Nusa Tenggara Barat,2013,2098.9,160.0,1010.3,68.0,28.25,3.8083018867924547,80.0
86,Nusa Tenggara Timur,2013,2149.0,126.0,1009.3,78.0,27.5,3.68,74.9
87,Kalimantan Barat,2013,3382.0,183.11612903225807,1010.27,61.83,26.9,12.12,85.17
88,Kalimantan Tengah,2013,3259.5,241.0,1012.5,57.2,27.4,1.5,84.6
89,Kalimantan Selatan,2013,3006.0,243.0,1011.5,57.2,26.7,3.0,84.3
90,Kalimantan Timur,2013,2854.1,259.0,1011.5,41.75,27.43,3.42,82.83
91,Kalimantan Utara,2013,3154.0,248.0,1009.6,51.0,27.4,2.6,84.0
92,Sulawesi Utara,2013,3719.8,265.0,1010.85,49.43,26.37,4.46,84.4
93,Sulawesi Tengah,2013,905.7,183.11612903225807,1010.18,57.42,26.7,3.58,76.5
94,Sulawesi Selatan,2013,3973.0,213.0,1011.2,65.75,27.23,3.92,83.67
95,Sulawesi Tenggara,2013,2618.8,206.0,1009.7,43.6,27.0,5.85,76.5
96,Gorontalo,2013,1775.0,207.0,1009.6,50.16,27.0,1.33,82.67
97,Sulawesi Barat,2013,1682.2,198.0,1002.2,69.37,27.58,4.17,80.58
98,Maluku,2013,2298.672839506173,183.11612903225807,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
99,Maluku Utara,2013,2713.0,215.0,1011.56,57.33,27.0,4.5,84.0
100,Papua Barat,2013,3419.1,251.0,1008.0,47.8,27.3,2.48,83.0
101,Papua,2013,4033.0,251.0,1009.7,43.4,27.9,5.9,80.6
102,Aceh,2014,2264.4,142.0,1010.2,54.0,27.1,5.3,78.3
103,Sumatera Utara,2014,2148.0,200.0,1006.6958227848098,38.0,27.9,3.8083018867924547,79.0
104,Sumatera Barat,2014,2838.4,163.0,995.4,43.14,25.67,0.3,85.35
105,Riau,2014,2343.7,188.0,1009.8,46.8,27.2,2.9,78.1
106,Jambi,2014,1781.0,199.0,1011.8,33.24,27.2,2.2,82.8
107,Sumatera Selatan,2014,1668.3,176.0,1010.4,45.3,24.2,2.2,81.0
108,Bengkulu,2014,3323.0,174.0,1010.3,70.0,26.9,4.02,83.7
109,Lampung,2014,1682.5,178.0,1010.4,61.7,25.79,3.5,79.9
110,Kepulauan Bangka Belitung,2014,1675.0,179.0,1011.0,56.2,27.2,4.1,79.8
111,Kepulauan Riau,2014,3064.0,174.0,1010.8,50.5,27.1,6.8,83.3
112,DKI Jakarta,2014,2908.0,157.0,1010.4,49.8,28.4,2.8,73.3
113,Jawa Barat,2014,2388.0,226.0,923.73,58.83,23.4,3.33,77.17
114,Jawa Tengah,2014,2628.0,187.0,1010.9,68.0,28.02,6.0,76.0
115,DI Yogyakarta,2014,2025.9,160.0,997.3,56.2,26.3,0.8,83.6
116,Jawa Timur,2014,1980.2,154.0,1011.0,71.1,28.0,7.3,75.7
117,Banten,2014,1521.0,176.0,1009.0,62.9,27.3,1.9,97.8
118,Bali,2014,1640.6,160.0,1009.9,81.7,27.4,6.4,79.0
119,Nusa Tenggara Barat,2014,1563.9,106.0,1010.6,73.0,27.01151898734177,3.0,82.8
120,Nusa Tenggara Timur,2014,1415.6,103.0,1010.1,69.8,27.4,4.3,73.2
121,Kalimantan Barat,2014,2755.1,217.0,1011.1,63.2,26.8,5.0,85.8
122,Kalimantan Tengah,2014,2853.9,175.0,1013.36,54.43,27.4,2.12,82.96
123,Kalimantan Selatan,2014,2371.0,221.0,1012.3,57.0,26.8,3.3,82.7
124,Kalimantan Timur,2014,2422.3,146.0,1011.9,39.9,27.7,3.7,81.4
125,Kalimantan Utara,2014,2654.6,217.0,1009.7,59.0,27.4,4.1,84.0
126,Sulawesi Utara,2014,2835.0,229.0,1011.3,62.0,26.6,5.3,82.7
127,Sulawesi Tengah,2014,705.1,167.0,1011.1,63.4,26.7,3.9,77.7
128,Sulawesi Selatan,2014,2739.0,190.0,1011.6,71.8,27.2,4.0,78.2
129,Sulawesi Tenggara,2014,2263.6,172.0,1010.1,59.120188679245295,26.8,3.8083018867924547,74.7
130,Gorontalo,2014,1404.3,152.0,1010.2,69.0,26.7,2.2,79.8
131,Sulawesi Barat,2014,1096.8,153.0,1011.3,59.8,27.9,2.0,78.1
132,Maluku,2014,2593.0,229.0,1011.4,59.0,26.6,5.0,84.0
133,Maluku Utara,2014,1811.0,183.0,1012.3,72.4,27.0,5.0,82.0
134,Papua Barat,2014,2824.6,231.0,1010.6,57.0,27.5,8.5,82.8
135,Papua,2014,2731.0,202.0,1010.8,57.2,28.1,6.2,80.5
136,Aceh,2015,1575.0,146.0,1010.7,65.69,27.1,2.71,80.0
137,Sumatera Utara,2015,975.9,105.0,1010.6,51.86,27.4,2.38,86.9
138,Sumatera Barat,2015,3548.0,185.0,1010.9,59.56,26.5,2.88,84.0
139,Riau,2015,2048.3,140.0,1010.5,50.32,27.2,2.97,80.5
140,Jambi,2015,1694.9,135.0,1011.4,51.97,27.0,2.39,82.1
141,Sumatera Selatan,2015,1947.2,138.0,1011.0,51.19,27.7,3.32,79.5
142,Bengkulu,2015,2668.9,166.0,1011.0,71.35,27.0,2.12,83.2
143,Lampung,2015,1628.1,151.0,1012.1,67.89,27.1,1.95,78.9
144,Kepulauan Bangka Belitung,2015,1534.7,163.0,1011.4,59.57,27.3,4.05,79.9
145,Kepulauan Riau,2015,2250.9,174.0,1011.4,69.95,27.0,3.16,84.1
146,DKI Jakarta,2015,2169.5,121.0,1011.0,60.12,28.4,1.54,74.0
147,Jawa Barat,2015,2199.3,177.0,924.1,65.51,23.5,2.14,74.4
148,Jawa Tengah,2015,1620.7,140.0,1011.9,85.05,28.5,2.83,70.0
149,DI Yogyakarta,2015,2045.5,119.0,1014.9,75.14,26.1,0.07,82.8
150,Jawa Timur,2015,2024.7,133.0,1011.8,80.12,28.0,3.88,75.2
151,Banten,2015,1310.1,155.0,1010.6,65.06,27.3,0.99,79.3
152,Bali,2015,1133.8,124.0,1011.3,84.44,27.3,3.27,79.1
153,Nusa Tenggara Barat,2015,1147.9,91.0,1014.2,84.99,26.1,3.27,81.4
154,Nusa Tenggara Timur,2015,1406.0,82.0,1011.0,84.0,27.5,4.04,75.6
155,Kalimantan Barat,2015,2757.7,215.0,1011.8,55.04,26.9,1.75,85.7
156,Kalimantan Tengah,2015,2748.4,155.0,1013.9,53.46,27.7,2.17,80.5
157,Kalimantan Selatan,2015,2509.6,166.0,1013.1,61.45,27.0,1.92,81.2
158,Kalimantan Timur,2015,2069.4,186.0,1012.9,46.97,27.9,1.96,79.7
159,Kalimantan Utara,2015,2311.5,202.0,1010.5,63.01,27.6,2.2,83.7
160,Sulawesi Utara,2015,1807.0,127.0,1012.3,67.53,27.0,2.92,75.6
161,Sulawesi Tengah,2015,460.9,68.0,1011.9,79.12,28.4,2.32,72.6
162,Sulawesi Selatan,2015,3382.0,155.0,1013.1,66.83,27.3,2.89,75.2
163,Sulawesi Tenggara,2015,1589.6,141.0,1012.8,72.51,26.9,1.27,83.1
164,Gorontalo,2015,870.6,76.0,1011.0,75.19,27.3,1.95,77.5
165,Sulawesi Barat,2015,1167.9,93.0,1012.5,78.0,27.9,1.93,77.2
166,Maluku,2015,1987.2,167.0,1012.4,66.52,26.5,2.35,83.6
167,Maluku Utara,2015,913.4,127.0,1013.0,84.07,27.3,2.6,78.3
168,Papua Barat,2015,2844.6,218.0,1011.5,61.63,27.4,1.54,83.6
169,Papua,2015,1265.9,168.0,1011.1,64.47,27.8,2.6,75.5
