,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
372,373,146.0,0.0,USA,100000000.0,78616689.0,238747,2153.0,281.0,11000,14000.0,3000.0,882.0,681.0,6217,7.1,Good
3708,3709,93.0,0.0,USA,8500000.0,34872293.0,30765,252.0,91.0,963,54.0,40000.0,618.0,581.0,42002,4.9,Fair
979,980,89.0,0.0,USA,50000000.0,47553512.0,54101,210.0,228.0,15000,77.0,490.0,298.0,159.0,1367,5.8,Fair
1905,1906,142.0,0.0,USA,25000000.0,44700000.0,537442,851.0,147.0,19000,0.0,14000.0,670.0,638.0,16464,8.3,Excellent
1289,1290,123.0,1.0,USA,40000000.0,15962471.0,79892,619.0,260.0,0,0.0,4000.0,887.0,826.0,7243,6.4,Good
1388,1389,105.0,1.0,USA,37000000.0,20991497.0,39778,172.0,138.0,11000,488.0,15000.0,14000.0,13000.0,44037,5.4,Fair
2640,2641,123.0,0.0,UK,15000000.0,35887263.0,265507,388.0,419.0,90000,120.0,13000.0,876.0,149.0,14100,7.7,Good
3043,3044,91.0,0.0,USA,12000000.0,21370057.0,9903,80.0,33.0,541,0.0,636.0,330.0,298.0,1852,6.0,Fair
3094,3095,95.0,2.0,USA,10000000.0,63319509.0,67115,389.0,96.0,0,7.0,23000.0,1000.0,1000.0,28734,5.8,Fair
1502,1503,114.0,1.0,France,35000000.0,6592103.0,28584,232.0,149.0,675,0.0,548.0,298.0,115.0,1005,6.3,Good
1976,1977,104.0,2.0,France,17000000.0,,5525,11.0,58.0,853,8.0,172.0,20.0,8.0,210,6.3,Good
2769,2770,101.0,0.0,USA,15000000.0,51527787.0,45603,268.0,264.0,0,71.0,10000.0,960.0,725.0,14159,5.5,Fair
4813,4814,89.0,0.0,France,6000000.0,12843.0,27297,131.0,279.0,0,33.0,470.0,378.0,118.0,1233,6.1,Good
2132,2133,81.0,1.0,USA,21000000.0,52008288.0,162037,928.0,163.0,0,406.0,893.0,795.0,406.0,3003,7.8,Good
4755,4756,87.0,3.0,USA,,,299,11.0,2.0,29,0.0,584.0,507.0,347.0,1924,5.0,Fair
4320,4321,86.0,0.0,Ireland,,,6585,53.0,98.0,0,5.0,121.0,94.0,47.0,322,5.7,Fair
2773,2774,123.0,2.0,UK,14000000.0,46800000.0,76477,275.0,112.0,0,43.0,456.0,244.0,238.0,1326,7.1,Good
2681,2682,97.0,1.0,USA,15000000.0,14938570.0,111625,369.0,414.0,20000,181.0,11000.0,820.0,748.0,14025,6.2,Good
4251,4252,88.0,5.0,USA,2000000.0,,31077,78.0,50.0,0,11000.0,11000.0,300.0,258.0,12034,6.8,Good
1785,1786,89.0,3.0,USA,28000000.0,8119205.0,4288,21.0,21.0,517,23.0,1000.0,937.0,899.0,5535,5.4,Fair
2985,2986,110.0,0.0,USA,12000000.0,3148482.0,29613,98.0,190.0,0,115.0,812.0,580.0,103.0,1540,7.1,Good
3337,3338,122.0,1.0,USA,,13569248.0,16530,117.0,167.0,0,300.0,579.0,405.0,341.0,1637,7.6,Good
3421,3422,97.0,1.0,Spain,8000000.0,52961.0,2103,11.0,56.0,675,43.0,144.0,63.0,47.0,326,5.3,Fair
3703,3704,108.0,1.0,USA,5000000.0,43771291.0,79916,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
3759,3760,106.0,10.0,USA,5000000.0,,8930,90.0,27.0,672,44.0,559.0,249.0,136.0,1199,6.6,Good
800,801,130.0,3.0,USA,60000000.0,31165421.0,107028,457.0,212.0,44000,91.0,5000.0,2000.0,1000.0,10247,6.0,Fair
2645,2646,115.0,1.0,USA,15000000.0,37877959.0,86664,252.0,349.0,38000,212.0,2000.0,820.0,612.0,4896,7.1,Good
141,142,131.0,2.0,USA,150000000.0,73103784.0,164238,434.0,339.0,33000,776.0,17000.0,551.0,256.0,18204,6.4,Good
1910,1911,158.0,0.0,USA,25000000.0,40218903.0,372990,1107.0,398.0,16000,0.0,272.0,111.0,104.0,533,8.1,Excellent
4654,4655,95.0,1.0,USA,825000.0,15278.0,1742,158.0,16.0,409,14.0,284.0,234.0,221.0,1185,5.6,Fair
4846,4847,98.0,7.0,USA,300000.0,,95,7.0,8.0,7,3.0,500.0,317.0,248.0,1545,7.2,Good
819,820,114.0,8.0,USA,58000000.0,31199215.0,27664,120.0,186.0,472,0.0,142.0,117.0,110.0,589,6.0,Fair
2327,2328,80.0,2.0,USA,20000000.0,1646664.0,4518,66.0,28.0,241,121.0,836.0,624.0,587.0,2467,2.8,Bad
3635,3636,104.0,5.0,France,,181798.0,2591,36.0,60.0,52,324.0,173.0,67.0,27.0,282,6.6,Good
2023,2024,98.0,4.0,USA,24000000.0,57262492.0,90374,318.0,129.0,0,36.0,13000.0,2000.0,900.0,17582,6.7,Good
3446,3447,92.0,6.0,USA,8000000.0,10814185.0,37530,106.0,192.0,0,406.0,24000.0,15000.0,968.0,41867,6.2,Good
2519,2520,122.0,2.0,Germany,17000000.0,6855137.0,88590,419.0,157.0,0,47.0,23000.0,979.0,834.0,27381,7.4,Good
3907,3908,119.0,0.0,USA,100000000.0,180011740.0,177729,1368.0,230.0,0,13000.0,1000.0,658.0,567.0,2776,5.7,Fair
3980,3981,113.0,3.0,UK,30000000.0,61094903.0,210548,332.0,349.0,29000,174.0,14000.0,902.0,767.0,17151,6.9,Good
1340,1341,93.0,2.0,USA,39000000.0,30400000.0,17810,73.0,23.0,478,36.0,592.0,516.0,275.0,2176,5.7,Fair
1839,1840,139.0,0.0,USA,22000000.0,58328680.0,54096,494.0,153.0,0,0.0,3000.0,693.0,648.0,5458,7.5,Good
3910,3911,101.0,1.0,USA,3200000.0,8243880.0,28714,215.0,157.0,762,47.0,658.0,636.0,407.0,3086,7.0,Good
2546,2547,94.0,2.0,USA,16000000.0,45507053.0,237848,377.0,487.0,71000,0.0,13000.0,13000.0,559.0,27911,7.8,Good
4542,4543,112.0,0.0,USA,3500000.0,9701559.0,141425,283.0,377.0,25000,310.0,33000.0,2000.0,616.0,35941,7.4,Good
4880,4881,95.0,1.0,USA,250000.0,,1488,28.0,12.0,519,7.0,236.0,206.0,89.0,537,4.4,Fair
4012,4013,98.0,0.0,USA,3500000.0,,1634,11.0,15.0,127,0.0,368.0,168.0,31.0,668,6.1,Good
3001,3002,90.0,2.0,USA,8000000.0,303439.0,12125,78.0,78.0,1000,26.0,797.0,474.0,350.0,2073,6.4,Good
4262,4263,80.0,0.0,France,9500000.0,7002255.0,42462,312.0,167.0,0,162.0,23.0,6.0,0.0,29,7.8,Good
51,52,131.0,0.0,USA,190000000.0,101785482.0,381148,1106.0,575.0,83000,0.0,16000.0,968.0,919.0,19166,7.0,Good
4024,4025,107.0,8.0,USA,3500000.0,5354039.0,92599,225.0,290.0,21000,78.0,18000.0,2000.0,969.0,22834,7.1,Good
961,962,45.0,2.0,UK,,,1824,9.0,2.0,0,,416.0,171.0,132.0,1816,7.9,Good
925,926,130.0,2.0,USA,50000000.0,296623634.0,220758,919.0,299.0,13000,129.0,21000.0,17000.0,12000.0,64040,4.6,Fair
3339,3340,104.0,1.0,USA,22000000.0,4273372.0,19412,308.0,66.0,0,170.0,736.0,218.0,202.0,1854,2.1,Bad
4176,4177,100.0,1.0,USA,2600000.0,,5012,47.0,66.0,254,6.0,331.0,272.0,209.0,1082,5.3,Fair
716,717,130.0,2.0,UK,58000000.0,106635996.0,199025,416.0,137.0,0,258.0,394.0,387.0,345.0,1784,7.2,Good
8,9,153.0,3.0,UK,250000000.0,301956980.0,321795,973.0,375.0,10000,282.0,25000.0,11000.0,10000.0,58753,7.5,Good
602,603,125.0,1.0,USA,70000000.0,65012000.0,43559,137.0,59.0,0,0.0,443.0,277.0,184.0,1439,6.2,Good
1014,1015,110.0,3.0,USA,50000000.0,18472363.0,63599,208.0,120.0,0,134.0,23000.0,1000.0,795.0,25049,5.8,Fair
1335,1336,125.0,1.0,UK,39000000.0,60000000.0,49934,224.0,95.0,0,44.0,593.0,542.0,420.0,2329,4.9,Fair
2753,2754,124.0,1.0,UK,15000000.0,,695,32.0,22.0,277,67.0,631.0,452.0,303.0,1585,6.6,Good
4256,4257,118.0,0.0,USA,2000000.0,11533945.0,77551,434.0,123.0,0,108.0,173.0,148.0,103.0,563,7.6,Good
898,899,121.0,0.0,USA,54000000.0,5660084.0,41620,418.0,131.0,2000,102.0,117.0,62.0,43.0,286,2.4,Bad
2924,2925,114.0,0.0,USA,12000000.0,79568000.0,71842,152.0,84.0,0,139.0,2000.0,883.0,793.0,4537,7.1,Good
1634,1635,85.0,0.0,UK,30000000.0,56068547.0,98160,307.0,209.0,0,9.0,567.0,269.0,100.0,1145,7.5,Good
2731,2732,100.0,0.0,Cambodia,,,1933,13.0,17.0,708,5.0,192.0,134.0,46.0,527,5.6,Fair
137,138,91.0,0.0,USA,150000000.0,126597121.0,105902,206.0,194.0,0,58.0,2000.0,852.0,826.0,6576,6.2,Good
1127,1128,160.0,0.0,USA,45000000.0,7916887.0,15697,182.0,158.0,0,0.0,23000.0,1000.0,826.0,26982,6.0,Fair
4400,4401,110.0,0.0,USA,26000000.0,58885635.0,194426,1057.0,287.0,7000,0.0,3000.0,2000.0,1000.0,10438,7.4,Good
3490,3491,103.0,3.0,USA,7000000.0,17474107.0,56605,89.0,180.0,23000,44.0,637.0,256.0,190.0,1342,7.3,Good
5014,5015,100.0,0.0,USA,23000.0,1227508.0,15103,80.0,61.0,2000,0.0,5.0,0.0,0.0,5,7.1,Good
3947,3948,100.0,0.0,USA,4000000.0,,1555,40.0,19.0,98,137.0,4000.0,575.0,476.0,5796,5.0,Fair
3238,3239,112.0,0.0,Australia,10000000.0,,5637,57.0,84.0,0,93.0,147.0,52.0,51.0,285,5.2,Fair
3300,3301,79.0,3.0,USA,8000000.0,4350774.0,10476,52.0,15.0,0,157.0,4000.0,248.0,219.0,4908,6.5,Good
3123,3124,100.0,2.0,USA,10000000.0,29392418.0,3924,26.0,8.0,368,322.0,851.0,543.0,534.0,3190,5.8,Fair
1851,1852,105.0,0.0,USA,26000000.0,28501651.0,88035,201.0,217.0,10000,260.0,20000.0,15000.0,3000.0,42473,7.1,Good
1350,1351,94.0,1.0,USA,30000000.0,71038190.0,23473,123.0,76.0,8000,99.0,598.0,557.0,377.0,3552,4.4,Fair
2749,2750,109.0,0.0,Bulgaria,7000000.0,,41638,134.0,136.0,13000,19.0,1000.0,889.0,537.0,2829,6.1,Good
1856,1857,110.0,2.0,USA,26000000.0,14469428.0,10667,95.0,82.0,260,80.0,826.0,590.0,509.0,2466,5.2,Fair
1484,1485,120.0,1.0,USA,35000000.0,18317151.0,55630,200.0,171.0,0,52.0,553.0,214.0,134.0,1082,6.7,Good
1790,1791,110.0,4.0,UK,27000000.0,2775593.0,61269,98.0,135.0,0,53.0,480.0,261.0,87.0,858,6.5,Good
557,558,99.0,1.0,UK,75000000.0,14567883.0,44248,373.0,67.0,0,545.0,933.0,722.0,533.0,2542,6.0,Fair
3157,3158,108.0,1.0,USA,5000000.0,43771291.0,79909,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
2626,2627,87.0,0.0,USA,15000000.0,47860214.0,34711,468.0,152.0,0,165.0,1000.0,431.0,383.0,2452,5.0,Fair
2366,2367,101.0,2.0,USA,19000000.0,27758465.0,77987,120.0,181.0,0,8.0,544.0,449.0,110.0,1292,6.1,Good
3777,3778,116.0,2.0,USA,5000000.0,1980338.0,12366,151.0,81.0,507,52.0,624.0,385.0,102.0,1209,7.0,Good
4694,4695,108.0,0.0,Australia,30000000.0,32048809.0,94463,576.0,228.0,0,174.0,730.0,716.0,324.0,2160,5.3,Fair
455,456,99.0,0.0,USA,80000000.0,109993847.0,72326,116.0,144.0,0,163.0,11000.0,869.0,495.0,12831,6.1,Good
3619,3620,90.0,2.0,USA,6000000.0,4542775.0,18313,73.0,76.0,985,138.0,373.0,308.0,263.0,1831,5.1,Fair
667,668,129.0,0.0,USA,63000000.0,70236496.0,67395,564.0,242.0,0,0.0,12000.0,1000.0,625.0,14421,6.0,Fair
520,521,98.0,0.0,USA,76000000.0,368049635.0,286877,284.0,306.0,56000,275.0,7000.0,2000.0,1000.0,11905,7.5,Good
1073,1074,98.0,0.0,France,45000000.0,139852971.0,238671,461.0,358.0,63000,118.0,14000.0,935.0,558.0,16410,6.3,Good
866,867,135.0,1.0,USA,55000000.0,49994804.0,29205,194.0,76.0,0,317.0,57.0,40.0,34.0,164,6.3,Good
2060,2061,100.0,4.0,UK,25000000.0,4756.0,4191,32.0,28.0,0,3.0,2000.0,228.0,88.0,2450,5.4,Fair
3077,3078,103.0,0.0,USA,10600000.0,22160085.0,16747,349.0,108.0,1000,57.0,541.0,451.0,132.0,1228,5.4,Fair
1553,1554,98.0,1.0,USA,32000000.0,35063732.0,164608,383.0,224.0,10000,541.0,8000.0,912.0,897.0,10938,6.4,Good
1072,1073,91.0,2.0,USA,45000000.0,130512915.0,60884,85.0,35.0,0,32.0,924.0,664.0,628.0,3244,4.8,Fair
1978,1979,133.0,2.0,UK,28000000.0,11030963.0,24145,93.0,44.0,0,277.0,25000.0,14000.0,8000.0,48482,7.1,Good
4284,4285,120.0,1.0,USA,2000000.0,1098224.0,397,30.0,7.0,32,0.0,178.0,69.0,40.0,359,3.3,Bad
2621,2622,94.0,0.0,UK,9800000.0,56437947.0,85333,421.0,280.0,0,350.0,326.0,48.0,39.0,486,7.3,Good
2385,2386,81.0,0.0,USA,19000000.0,22245861.0,143251,710.0,241.0,0,0.0,12000.0,11000.0,836.0,25489,7.7,Good
217,218,110.0,0.0,USA,123000000.0,260031035.0,141414,482.0,175.0,0,2000.0,1000.0,722.0,636.0,4146,6.0,Fair
950,951,95.0,2.0,USA,50000000.0,88658172.0,58412,242.0,143.0,2000,9.0,14000.0,11000.0,11000.0,37967,5.6,Fair
1240,1241,99.0,0.0,USA,40000000.0,52320979.0,114321,548.0,175.0,0,18.0,18000.0,426.0,211.0,18693,6.8,Good
5003,5004,78.0,0.0,USA,30000.0,243768.0,143,9.0,3.0,13,6.0,32.0,17.0,17.0,72,4.1,Fair
2531,2532,122.0,2.0,USA,16800000.0,220914.0,13239,97.0,105.0,0,30.0,21000.0,3000.0,260.0,25173,6.5,Good
3120,3121,98.0,2.0,USA,10000000.0,30306281.0,12388,147.0,92.0,744,7.0,931.0,797.0,73.0,1917,5.6,Fair
4714,4715,115.0,0.0,USA,750000.0,,204,13.0,15.0,32,3.0,0.0,0.0,0.0,0,7.0,Good
4195,4196,106.0,1.0,Spain,2000000.0,395592.0,21202,134.0,72.0,0,148.0,900.0,648.0,471.0,2972,7.6,Good
4249,4250,89.0,0.0,USA,2000000.0,,33335,128.0,66.0,0,11000.0,11000.0,66.0,45.0,11192,7.3,Good
164,165,215.0,1.0,USA,130000000.0,107503316.0,392474,1229.0,451.0,18000,0.0,986.0,745.0,413.0,2530,7.7,Good
2300,2301,77.0,0.0,USA,20000000.0,7382993.0,3851,114.0,31.0,346,3.0,787.0,690.0,593.0,2185,2.8,Bad
4657,4658,90.0,1.0,USA,100000.0,,169,6.0,7.0,312,8.0,1000.0,806.0,487.0,3336,3.2,Bad
4185,4186,112.0,0.0,USA,2500000.0,,15277,120.0,65.0,1000,58.0,617.0,189.0,124.0,1141,7.9,Good
2365,2366,90.0,4.0,USA,27000000.0,,60,6.0,6.0,1000,97.0,731.0,634.0,319.0,2374,5.0,Fair
3727,3728,104.0,9.0,USA,4500000.0,23031390.0,4345,26.0,22.0,575,0.0,1000.0,597.0,498.0,2868,5.6,Fair
126,127,112.0,3.0,USA,170000000.0,206360018.0,414070,532.0,486.0,63000,230.0,26000.0,20000.0,12000.0,59803,7.1,Good
243,244,120.0,2.0,USA,115000000.0,47952020.0,37750,134.0,231.0,16000,19.0,26000.0,11000.0,9000.0,46719,6.1,Good
584,585,132.0,0.0,USA,70000000.0,141204016.0,142569,737.0,191.0,10000,357.0,14000.0,223.0,212.0,14790,5.8,Fair
2877,2878,107.0,2.0,USA,13000000.0,18004225.0,28573,87.0,150.0,5000,80.0,2000.0,257.0,252.0,3004,5.7,Fair
407,408,138.0,3.0,USA,85000000.0,63224849.0,182757,483.0,157.0,19000,278.0,14000.0,3000.0,213.0,17423,6.9,Good
5000,5001,117.0,0.0,USA,,321952.0,12611,113.0,71.0,0,17000.0,725.0,572.0,476.0,2783,8.2,Excellent
2411,2412,44.0,8.0,USA,,,65785,281.0,20.0,0,,828.0,787.0,650.0,2546,7.5,Good
4586,4587,97.0,0.0,UK,1000000.0,144431.0,1290,13.0,40.0,587,10.0,102.0,7.0,5.0,118,7.3,Good
1924,1925,114.0,3.0,USA,25000000.0,41597830.0,102123,660.0,174.0,0,335.0,11000.0,577.0,530.0,12624,7.6,Good
3309,3310,84.0,0.0,USA,9000000.0,11860839.0,5156,21.0,67.0,0,64.0,2000.0,892.0,748.0,4617,5.4,Fair
4744,4745,90.0,5.0,USA,,342936.0,45928,106.0,155.0,0,217.0,10000.0,10000.0,243.0,20480,6.1,Good
364,365,128.0,1.0,USA,90000000.0,100012500.0,299258,346.0,148.0,0,323.0,13000.0,559.0,489.0,14274,7.6,Good
3332,3333,125.0,0.0,USA,8500000.0,29200000.0,6142,52.0,32.0,1000,43.0,563.0,236.0,122.0,1097,6.9,Good
2444,2445,104.0,2.0,Canada,18000000.0,7739049.0,10680,112.0,93.0,562,109.0,405.0,204.0,202.0,847,7.1,Good
366,367,141.0,2.0,USA,,,57,1.0,1.0,0,335.0,11000.0,745.0,635.0,13379,6.1,Good
896,897,110.0,1.0,USA,54000000.0,75604320.0,68417,195.0,136.0,0,94.0,277.0,245.0,240.0,847,5.6,Fair
4127,4128,108.0,0.0,USA,200000000.0,334185206.0,306336,736.0,451.0,24000,13000.0,40000.0,25000.0,11000.0,79957,6.5,Good
3224,3225,86.0,2.0,UK,10000000.0,226792.0,3080,44.0,43.0,117,302.0,893.0,798.0,428.0,3049,6.2,Good
82,83,130.0,0.0,USA,170000000.0,208543795.0,317542,620.0,521.0,45000,198.0,10000.0,2000.0,884.0,14363,7.6,Good
3104,3105,90.0,0.0,Germany,10000000.0,37470017.0,86890,985.0,190.0,0,108.0,1000.0,322.0,270.0,1982,6.1,Good
3801,3802,102.0,0.0,Spain,5000000.0,,23756,48.0,191.0,0,57.0,331.0,93.0,78.0,526,7.2,Good
4261,4262,119.0,8.0,USA,1614000.0,,2269,34.0,12.0,236,6.0,1000.0,760.0,380.0,2555,7.1,Good
4796,4797,96.0,2.0,USA,100000.0,11798.0,179,18.0,8.0,39,14.0,361.0,14.0,6.0,387,4.7,Fair
4835,4836,104.0,1.0,Cameroon,,32631.0,291,8.0,27.0,50,0.0,2.0,0.0,,2,7.5,Good
4471,4472,82.0,3.0,USA,1300000.0,,5579,42.0,16.0,0,19.0,700.0,460.0,134.0,1499,2.7,Bad
4790,4791,92.0,0.0,USA,400000.0,44540956.0,161448,1473.0,220.0,0,100.0,970.0,759.0,482.0,3950,6.9,Good
2557,2558,121.0,1.0,UK,8000000.0,23618786.0,352695,687.0,285.0,17000,1000.0,175.0,115.0,108.0,485,7.9,Good
3506,3507,60.0,1.0,USA,,,42402,83.0,27.0,0,,787.0,485.0,346.0,2352,7.7,Good
2440,2441,90.0,1.0,USA,18000000.0,10494494.0,19586,109.0,146.0,4000,31.0,210.0,193.0,179.0,676,4.4,Fair
1319,1320,107.0,1.0,USA,20000000.0,7564000.0,54650,223.0,79.0,12000,34.0,11000.0,922.0,472.0,13821,6.2,Good
1681,1682,133.0,0.0,USA,35000000.0,21129348.0,146364,237.0,239.0,27000,549.0,10000.0,796.0,343.0,11799,7.4,Good
4073,4074,97.0,0.0,USA,3000000.0,,1361,16.0,7.0,889,78.0,685.0,178.0,77.0,1163,6.6,Good
3486,3487,89.0,0.0,USA,7000000.0,15818967.0,13913,120.0,137.0,0,14.0,971.0,479.0,270.0,2517,4.0,Bad
1613,1614,98.0,0.0,USA,35000000.0,66359959.0,184641,326.0,452.0,81000,129.0,303.0,18.0,7.0,337,6.9,Good
172,173,138.0,1.0,USA,150000000.0,93926386.0,168207,684.0,244.0,0,608.0,613.0,172.0,168.0,1205,7.4,Good
4701,4702,71.0,1.0,USA,650000.0,,5,1.0,1.0,5,0.0,1000.0,338.0,21.0,1359,7.4,Good
4077,4078,94.0,3.0,USA,,9016377.0,1004,8.0,16.0,143,9.0,927.0,209.0,200.0,1936,5.2,Fair
1585,1586,93.0,0.0,USA,34200000.0,163479795.0,161858,289.0,112.0,0,221.0,12000.0,11000.0,781.0,26760,6.4,Good
3200,3201,97.0,2.0,USA,10000000.0,7574066.0,30325,96.0,270.0,0,387.0,6000.0,139.0,64.0,6322,6.3,Good
1833,1834,133.0,1.0,USA,26000000.0,109243478.0,313797,546.0,217.0,0,0.0,7000.0,966.0,218.0,8341,7.1,Good
2073,2074,100.0,1.0,UK,23000000.0,2708188.0,8924,43.0,155.0,0,350.0,201.0,123.0,30.0,365,6.2,Good
4480,4481,118.0,5.0,USA,1250000.0,,15840,124.0,74.0,0,673.0,595.0,176.0,137.0,1129,7.8,Good
2918,2919,80.0,0.0,France,9600000.0,71442.0,12029,32.0,99.0,0,2.0,6000.0,637.0,186.0,6829,7.9,Good
4097,4098,87.0,3.0,USA,3500000.0,3071947.0,18711,183.0,49.0,0,18.0,3000.0,2000.0,844.0,9555,5.4,Fair
1399,1400,126.0,0.0,USA,35000000.0,251188924.0,269033,817.0,186.0,12000,13000.0,920.0,549.0,488.0,2725,7.6,Good
1321,1322,111.0,2.0,UK,30000000.0,2869369.0,65474,211.0,77.0,0,0.0,1000.0,970.0,385.0,2612,7.3,Good
1787,1788,107.0,2.0,USA,28000000.0,6998324.0,11476,50.0,125.0,0,234.0,1000.0,962.0,660.0,3944,6.1,Good
3634,3635,90.0,2.0,USA,6000000.0,399611.0,1245,29.0,16.0,0,11.0,767.0,529.0,316.0,2370,5.7,Fair
1722,1723,121.0,0.0,China,18000000.0,127437.0,4670,27.0,63.0,0,0.0,974.0,643.0,187.0,1887,6.0,Fair
3876,3877,133.0,0.0,India,150000000.0,199228.0,7295,49.0,12.0,504,12.0,464.0,374.0,106.0,1045,7.2,Good
688,689,130.0,0.0,UK,50000000.0,1987287.0,25474,138.0,127.0,0,2000.0,268.0,85.0,25.0,450,6.9,Good
1242,1243,105.0,0.0,USA,25000000.0,51853450.0,37398,110.0,169.0,11000,54.0,3000.0,2000.0,988.0,9069,6.6,Good
1505,1506,148.0,0.0,USA,35000000.0,630779.0,11101,159.0,95.0,633,0.0,3.0,2.0,0.0,5,6.8,Good
1496,1497,101.0,0.0,USA,35000000.0,6448817.0,2189,31.0,24.0,0,31.0,690.0,457.0,448.0,1993,4.6,Fair
2344,2345,7.0,0.0,USA,13000.0,,118,,,30,23.0,344.0,281.0,51.0,726,5.2,Fair
4952,4953,120.0,1.0,USA,10000000.0,,1197,8.0,21.0,0,664.0,990.0,664.0,400.0,3525,5.4,Fair
1597,1598,111.0,2.0,USA,37000000.0,108244774.0,94049,301.0,108.0,0,0.0,11000.0,995.0,529.0,13645,6.2,Good
1719,1720,103.0,0.0,China,60000000.0,668171.0,8215,132.0,90.0,445,45.0,489.0,181.0,107.0,949,5.6,Fair
1112,1113,133.0,0.0,USA,45000000.0,24343673.0,91860,524.0,156.0,14000,278.0,5000.0,117.0,107.0,5405,7.4,Good
4312,4313,85.0,1.0,USA,25000000.0,13973532.0,11211,92.0,52.0,215,54.0,985.0,637.0,455.0,3065,5.1,Fair
2372,2373,125.0,0.0,Japan,19000000.0,10049886.0,417971,902.0,246.0,28000,6000.0,17.0,10.0,7.0,44,8.6,Excellent
103,104,109.0,0.0,USA,150000000.0,63143812.0,124185,238.0,235.0,11000,226.0,12000.0,418.0,370.0,13388,6.1,Good
590,591,124.0,0.0,USA,70000000.0,117541000.0,269858,316.0,142.0,0,212.0,13000.0,982.0,576.0,16595,7.1,Good
4015,4016,96.0,0.0,USA,3500000.0,,961,12.0,4.0,211,0.0,708.0,574.0,460.0,2307,4.8,Fair
308,309,121.0,4.0,USA,100000000.0,184031112.0,190786,539.0,144.0,0,541.0,920.0,710.0,680.0,2880,5.4,Fair
2505,2506,105.0,0.0,USA,,21160089.0,8522,92.0,54.0,874,49.0,680.0,503.0,104.0,1538,6.0,Fair
187,188,94.0,0.0,USA,135000000.0,177343675.0,70121,214.0,165.0,26000,12.0,17000.0,523.0,183.0,17883,6.7,Good
4928,4929,109.0,3.0,USA,200000.0,,8,,,65,0.0,270.0,54.0,26.0,364,7.0,Good
2555,2556,91.0,0.0,USA,17700000.0,27087695.0,41664,205.0,78.0,0,29.0,861.0,593.0,459.0,2543,5.9,Fair
561,562,106.0,0.0,USA,75000000.0,94999143.0,245152,1344.0,294.0,0,0.0,18000.0,13000.0,963.0,33645,7.2,Good
4152,4153,89.0,0.0,USA,3000000.0,,859,17.0,14.0,369,6.0,679.0,234.0,29.0,964,4.0,Bad
3121,3122,101.0,0.0,USA,10000000.0,29500000.0,25613,121.0,78.0,0,287.0,745.0,730.0,257.0,1954,6.5,Good
