NO;DEPT_DESC;DEPT_SHORT_DESC;VACANCY;APPLICATION_COUNT;HIRE_COUNT;RECEIVED_DATE;APPROVED_DATE;OPEN_DATE;CLOSE_DATE;ISSUE_DATE
22;*(9FS)Western Distribution Center (ABOLISHED);9;590121;2;1;28/10/2004 00.00;28/10/2004 00.00;08/11/2004 00.00;15/11/2004 00.00;17/11/2004 00.00
23;*(2FB) Fleet & Pers Prop Mgmt Div (ABOLISHED);2;421121;2;1;20/10/2004 00.00;20/10/2004 00.00;21/10/2004 00.00;04/11/2004 00.00;05/11/2004 00.00
24;*(FBG) Contracting Division (ABOLISHED);CO;050000212MP;5;2;19/11/2004 00.00;19/11/2004 00.00;24/11/2004 00.00;01/12/2004 00.00;03/12/2004 00.00
25;*(FBG) Contracting Division (ABOLISHED);CO;050000212MP;5;2;19/11/2004 00.00;19/11/2004 00.00;24/11/2004 00.00;01/12/2004 00.00;03/12/2004 00.00
26;(2PT) Portfolio Management Division;2;520081;5;1;19/10/2004 00.00;19/10/2004 00.00;25/10/2004 00.00;12/11/2004 00.00;17/11/2004 00.00
27;(8P) Office of the Assist. Regional Administrator- PBS;8;580041;3;1;03/11/2004 00.00;04/11/2004 00.00;04/11/2004 00.00;18/11/2004 00.00;24/11/2004 00.00
28;*(2FX-1) Contract Management Div (ABOLISHED);2;520101;4;1;26/10/2004 00.00;26/10/2004 00.00;01/11/2004 00.00;15/11/2004 00.00;17/11/2004 00.00
29;(8P) Office of the Assist. Regional Administrator- PBS;8;580081;2;1;18/11/2004 00.00;19/11/2004 00.00;19/11/2004 00.00;03/12/2004 00.00;06/12/2004 00.00
30;*(2FB) Fleet & Pers Prop Mgmt Div (ABOLISHED);2;421132;3;1;20/10/2004 00.00;27/09/2004 00.00;21/10/2004 00.00;04/11/2004 00.00;05/11/2004 00.00
31;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570155;6;1;05/11/2004 00.00;05/11/2004 00.00;05/11/2004 00.00;18/11/2004 00.00;24/11/2004 00.00
32;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570155;6;1;05/11/2004 00.00;05/11/2004 00.00;05/11/2004 00.00;18/11/2004 00.00;24/11/2004 00.00
33;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570155;6;1;05/11/2004 00.00;05/11/2004 00.00;05/11/2004 00.00;18/11/2004 00.00;24/11/2004 00.00
34;*(2FYI) Inventory & Commodity Support Div(ABOLISH);2;520121;5;2;17/11/2004 00.00;17/11/2004 00.00;18/11/2004 00.00;02/12/2004 00.00;06/12/2004 00.00
35;*(2FYI) Inventory & Commodity Support Div(ABOLISH);2;520121;5;2;17/11/2004 00.00;17/11/2004 00.00;18/11/2004 00.00;02/12/2004 00.00;06/12/2004 00.00
36;(7P) Office of the Assist. Regional Administrator- PBS;7;570271;10;1;30/11/2004 00.00;01/12/2004 00.00;01/12/2004 00.00;15/12/2004 00.00;21/12/2004 00.00
37;(7P) Office of the Assist. Regional Administrator- PBS;7;570211;1;1;16/11/2004 00.00;17/11/2004 00.00;17/11/2004 00.00;01/12/2004 00.00;07/12/2004 00.00
38;Region 9 Human Resources Division;9;0590245A;67;1;30/11/2004 00.00;30/11/2004 00.00;02/12/2004 00.00;15/03/2005 00.00;21/12/2004 00.00
39;(7P) Office of the Assist. Regional Administrator- PBS;7;570021;39;1;04/10/2004 00.00;04/10/2004 00.00;04/10/2004 00.00;18/10/2004 00.00;25/10/2004 00.00
40;(7P) Office of the Assist. Regional Administrator- PBS;7;570021;39;1;04/10/2004 00.00;04/10/2004 00.00;04/10/2004 00.00;18/10/2004 00.00;25/10/2004 00.00
41;*(7T) Office of the Assist. RA - FTS (ABOLISHED);7;570074;40;1;20/10/2004 00.00;20/10/2004 00.00;20/10/2004 00.00;03/11/2004 00.00;08/11/2004 00.00
42;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570145;4;1;10/11/2004 00.00;10/11/2004 00.00;10/11/2004 00.00;26/11/2004 00.00;01/12/2004 00.00
43;(I) Ofc of the Chief Information Officer;CO;050007803MP;2;1;23/11/2004 00.00;08/12/2004 00.00;10/12/2004 00.00;27/12/2004 00.00;28/12/2004 00.00
44;(7P) Office of the Assist. Regional Administrator- PBS;7;570261;4;1;18/11/2004 00.00;19/11/2004 00.00;19/11/2004 00.00;10/12/2004 00.00;20/12/2004 00.00
45;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;590391;4;1;21/12/2004 00.00;21/12/2004 00.00;27/12/2004 00.00;03/01/2005 00.00;04/01/2005 00.00
46;(8P) Office of the Assist. Regional Administrator- PBS;8;580015;40;1;22/10/2004 00.00;25/10/2004 00.00;25/10/2004 00.00;08/11/2004 00.00;30/11/2004 00.00
47;(8P) Office of the Assist. Regional Administrator- PBS;8;580015;40;1;22/10/2004 00.00;25/10/2004 00.00;25/10/2004 00.00;08/11/2004 00.00;30/11/2004 00.00
48;(9PT) Portfolio Management Division;9;GSA9-DE-05-1;13;1;04/10/2004 00.00;15/10/2004 00.00;04/10/2004 00.00;15/10/2004 00.00;20/10/2004 00.00
49;*(2TT) Network Services Division (ABOLISHED);2;520152;2;1;02/12/2004 00.00;02/12/2004 00.00;06/12/2004 00.00;17/12/2004 00.00;23/12/2004 00.00
50;*(2TT) Network Services Division (ABOLISHED);2;520152;2;1;02/12/2004 00.00;02/12/2004 00.00;06/12/2004 00.00;17/12/2004 00.00;23/12/2004 00.00
51;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570255;10;1;17/11/2004 00.00;18/11/2004 00.00;18/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00
52;(7P) Office of the Assist. Regional Administrator- PBS;7;570131;93;1;04/11/2004 00.00;04/11/2004 00.00;04/11/2004 00.00;18/11/2004 00.00;01/12/2004 00.00
53;(7P) Office of the Assist. Regional Administrator- PBS;7;570131;93;1;04/11/2004 00.00;04/11/2004 00.00;04/11/2004 00.00;18/11/2004 00.00;01/12/2004 00.00
54;(XCE) Office of E-Gov Solutions Support;CO;050004503MP;17;1;15/11/2004 00.00;15/11/2004 00.00;16/11/2004 00.00;30/11/2004 00.00;03/12/2004 00.00
55;*(6FEP) Stock & Special Order Acq Div (ABOLISHED);6;560129;29;2;29/09/2004 00.00;15/11/2004 00.00;17/11/2004 00.00;01/12/2004 00.00;14/12/2004 00.00
56;*(6FEP) Stock & Special Order Acq Div (ABOLISHED);6;560129;29;2;29/09/2004 00.00;15/11/2004 00.00;17/11/2004 00.00;01/12/2004 00.00;14/12/2004 00.00
57;(7P) Office of the Assist. Regional Administrator- PBS;7;570281;4;1;07/12/2004 00.00;08/12/2004 00.00;08/12/2004 00.00;29/12/2004 00.00;11/01/2005 00.00
58;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;050000219MP;9;3;14/10/2004 00.00;14/10/2004 00.00;01/11/2004 00.00;15/11/2004 00.00;16/11/2004 00.00
59;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;050000219MP;9;3;14/10/2004 00.00;14/10/2004 00.00;01/11/2004 00.00;15/11/2004 00.00;16/11/2004 00.00
60;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;28/12/2004 00.00
61;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;30/12/2004 00.00
62;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;30/12/2004 00.00
63;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;04/01/2005 00.00
64;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;04/01/2005 00.00
65;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;04/01/2005 00.00
66;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;04/01/2005 00.00
67;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;04/01/2005 00.00
68;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;04/01/2005 00.00
69;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;05/01/2005 00.00
70;(WPG) Potomac Services Division;N;5990341;61;3;15/11/2004 00.00;03/12/2004 00.00;07/12/2004 00.00;21/12/2004 00.00;05/01/2005 00.00
71;*(9FS)Western Distribution Center (ABOLISHED);9;590411;2;1;21/12/2004 00.00;22/12/2004 00.00;27/12/2004 00.00;10/01/2005 00.00;11/01/2005 00.00
72;(7CP) Human Resources & Program Support Div;7;570394;3;1;04/01/2005 00.00;05/01/2005 00.00;05/01/2005 00.00;19/01/2005 00.00;20/01/2005 00.00
73;(7CP) Human Resources & Program Support Div;7;570394;3;1;04/01/2005 00.00;05/01/2005 00.00;05/01/2005 00.00;19/01/2005 00.00;20/01/2005 00.00
74;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;050000219MP;9;3;14/10/2004 00.00;14/10/2004 00.00;01/11/2004 00.00;15/11/2004 00.00;16/11/2004 00.00
75;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
76;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
77;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
78;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
79;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
80;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
81;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
82;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
83;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
84;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
85;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
86;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
87;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
88;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
89;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
90;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
91;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
92;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
93;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
94;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
95;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
96;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
97;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
98;(4PM) Property Management Division;4;540024;105;2;30/09/2004 00.00;01/10/2004 00.00;08/10/2004 00.00;22/10/2004 00.00;04/11/2004 00.00
99;(ACA) Office of the Chief of Staff;CO;050009501DE;33;1;16/12/2004 00.00;16/12/2004 00.00;22/12/2004 00.00;29/12/2004 00.00;04/01/2005 00.00
100;(ACA) Office of the Chief of Staff;CO;050009501DE;33;1;16/12/2004 00.00;16/12/2004 00.00;22/12/2004 00.00;29/12/2004 00.00;04/01/2005 00.00
101;(ACA) Office of the Chief of Staff;CO;050009501DE;33;1;16/12/2004 00.00;16/12/2004 00.00;22/12/2004 00.00;29/12/2004 00.00;04/01/2005 00.00
102;(ACA) Office of the Chief of Staff;CO;050009501DE;33;1;16/12/2004 00.00;16/12/2004 00.00;22/12/2004 00.00;29/12/2004 00.00;04/01/2005 00.00
103;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570245;105;2;15/11/2004 00.00;15/11/2004 00.00;17/11/2004 00.00;02/12/2004 00.00;09/12/2004 00.00
104;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570245;105;2;15/11/2004 00.00;15/11/2004 00.00;17/11/2004 00.00;02/12/2004 00.00;09/12/2004 00.00
105;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570245;105;2;15/11/2004 00.00;15/11/2004 00.00;17/11/2004 00.00;02/12/2004 00.00;09/12/2004 00.00
106;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;050000119MP;35;4;05/11/2004 00.00;05/11/2004 00.00;02/11/2004 00.00;16/11/2004 00.00;23/11/2004 00.00
107;*(8T) Office of the Assist. RA- FTS (ABOLISHED);8;580064;11;3;18/11/2004 00.00;18/11/2004 00.00;19/11/2004 00.00;06/12/2004 00.00;14/12/2004 00.00
108;(8P) Office of the Assist. Regional Administrator- PBS;8;580025;29;1;22/10/2004 00.00;25/10/2004 00.00;25/10/2004 00.00;08/11/2004 00.00;30/11/2004 00.00
109;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570095;20;1;21/10/2004 00.00;22/10/2004 00.00;22/10/2004 00.00;05/11/2004 00.00;12/11/2004 00.00
110;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;050000219MP;9;3;14/10/2004 00.00;14/10/2004 00.00;01/11/2004 00.00;15/11/2004 00.00;16/11/2004 00.00
111;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;050000219MP;9;3;14/10/2004 00.00;14/10/2004 00.00;01/11/2004 00.00;15/11/2004 00.00;16/11/2004 00.00
112;*(PV) Office of Real Property Asset Mgmt (ABOLISH);CO;050009115MP;2;1;23/12/2004 00.00;23/12/2004 00.00;27/12/2004 00.00;10/01/2005 00.00;13/01/2005 00.00
113;*(PV) Office of Real Property Asset Mgmt (ABOLISH);CO;050009115MP;2;1;23/12/2004 00.00;23/12/2004 00.00;27/12/2004 00.00;10/01/2005 00.00;13/01/2005 00.00
114;*(4TR) IT Solutions Division (ABOLISHED);4;540073;18;1;04/11/2004 00.00;15/11/2004 00.00;18/11/2004 00.00;20/12/2004 00.00;28/12/2004 00.00
115;*(4TR) IT Solutions Division (ABOLISHED);4;540073;18;1;04/11/2004 00.00;15/11/2004 00.00;18/11/2004 00.00;20/12/2004 00.00;28/12/2004 00.00
116;*(4TR) IT Solutions Division (ABOLISHED);4;540073;18;1;04/11/2004 00.00;15/11/2004 00.00;18/11/2004 00.00;20/12/2004 00.00;03/01/2005 00.00
117;(8P) Office of the Assist. Regional Administrator- PBS;8;580025;29;1;22/10/2004 00.00;25/10/2004 00.00;25/10/2004 00.00;08/11/2004 00.00;30/11/2004 00.00
118;*(2FYC) Supply Procurement Div (ABOLISHED);2;520201;6;1;24/11/2004 00.00;24/11/2004 00.00;06/12/2004 00.00;17/12/2004 00.00;03/01/2005 00.00
119;*(2FYC) Supply Procurement Div (ABOLISHED);2;520201;6;1;24/11/2004 00.00;24/11/2004 00.00;06/12/2004 00.00;17/12/2004 00.00;05/01/2005 00.00
120;(10PZ1) Western Service Center;10;590060;1;1;19/09/2004 00.00;19/10/2004 00.00;25/10/2004 00.00;05/11/2004 00.00;07/12/2004 00.00
121;*(8T) Office of the Assist. RA- FTS (ABOLISHED);8;580054;27;1;01/12/2004 00.00;02/12/2004 00.00;02/12/2004 00.00;17/12/2004 00.00;29/12/2004 00.00
122;*(8T) Office of the Assist. RA- FTS (ABOLISHED);8;580054;27;1;01/12/2004 00.00;02/12/2004 00.00;02/12/2004 00.00;17/12/2004 00.00;29/12/2004 00.00
123;*(8T) Office of the Assist. RA- FTS (ABOLISHED);8;580054;27;1;01/12/2004 00.00;02/12/2004 00.00;02/12/2004 00.00;17/12/2004 00.00;05/01/2005 00.00
124;*(WT) Office of Asst. Reg Admin- FTS (ABOLISHED);N;0599DE27;140;1;16/12/2004 00.00;16/12/2004 00.00;20/12/2004 00.00;11/01/2005 00.00;18/01/2005 00.00
125;*(WT) Office of Asst. Reg Admin- FTS (ABOLISHED);N;0599DE27;140;1;16/12/2004 00.00;16/12/2004 00.00;20/12/2004 00.00;11/01/2005 00.00;18/01/2005 00.00
126;*(5FK) Natl Marketing Comm. Ofc (ABOLISHED);5;0550131MP;8;1;14/12/2004 00.00;14/12/2004 00.00;22/12/2004 00.00;18/01/2005 00.00;20/01/2005 00.00
127;*(5FK) Natl Marketing Comm. Ofc (ABOLISHED);5;0550131MP;8;1;14/12/2004 00.00;14/12/2004 00.00;22/12/2004 00.00;18/01/2005 00.00;20/01/2005 00.00
128;*(10FZ) Property and Supply Division (ABOLISHED);10;590313;3;1;09/12/2004 00.00;09/12/2004 00.00;13/12/2004 00.00;27/12/2004 00.00;30/12/2004 00.00
129;*(6FEM) Business Management Div (ABOLISHED);6;560264;4;1;27/12/2004 00.00;27/12/2004 00.00;30/12/2004 00.00;13/01/2005 00.00;18/01/2005 00.00
130;*(FBP) Property Management Division (ABOLISHED);CO;050003912MP;15;1;02/11/2004 00.00;02/11/2004 00.00;05/11/2004 00.00;19/11/2004 00.00;29/11/2004 00.00
131;*(TSC) Service Acquisition Center 2 (ABOLISHED);CO;050002622MP;29;4;29/10/2004 00.00;12/11/2004 00.00;16/11/2004 00.00;30/11/2004 00.00;03/12/2004 00.00
132;(8P) Office of the Assist. Regional Administrator- PBS;8;580111;1;1;14/12/2004 00.00;15/12/2004 00.00;15/12/2004 00.00;04/01/2005 00.00;06/01/2005 00.00
133;(8P) Office of the Assist. Regional Administrator- PBS;8;580131;1;1;14/12/2004 00.00;15/12/2004 00.00;15/12/2004 00.00;04/01/2005 00.00;06/01/2005 00.00
134;*(TSC) Service Acquisition Center 2 (ABOLISHED);CO;050002622MP;29;4;29/10/2004 00.00;12/11/2004 00.00;16/11/2004 00.00;30/11/2004 00.00;18/01/2005 00.00
135;(6CPC-CO) Hr Consolidated Processing Center;6;560169;75;2;16/11/2004 00.00;02/12/2004 00.00;09/12/2004 00.00;22/12/2004 00.00;30/12/2004 00.00
136;(6CPC-CO) Hr Consolidated Processing Center;6;560169;75;2;16/11/2004 00.00;02/12/2004 00.00;09/12/2004 00.00;22/12/2004 00.00;30/12/2004 00.00
137;(6CPC-CO) Hr Consolidated Processing Center;6;560169;75;2;16/11/2004 00.00;02/12/2004 00.00;09/12/2004 00.00;22/12/2004 00.00;30/12/2004 00.00
138;*(V)Office of the Chief Acquisition Ofcr (ABOLISH);CO;050001703MP;8;0;12/10/2004 00.00;07/01/2005 00.00;11/01/2005 00.00;18/01/2005 00.00;01/02/2005 00.00
139;*(V)Office of the Chief Acquisition Ofcr (ABOLISH);CO;050001703MP;8;0;12/10/2004 00.00;07/01/2005 00.00;11/01/2005 00.00;18/01/2005 00.00;01/02/2005 00.00
140;*(5FK) Natl Marketing Comm. Ofc (ABOLISHED);5;0550131MP;8;1;14/12/2004 00.00;14/12/2004 00.00;22/12/2004 00.00;18/01/2005 00.00;20/01/2005 00.00
141;*(5FK) Natl Marketing Comm. Ofc (ABOLISHED);5;0550131MP;8;1;14/12/2004 00.00;14/12/2004 00.00;22/12/2004 00.00;18/01/2005 00.00;20/01/2005 00.00
142;*(TQ) Office of Acquisition (ABOLISHED);CO;050000822mp;126;2;13/10/2004 00.00;13/10/2004 00.00;18/10/2004 00.00;15/11/2004 00.00;18/11/2004 00.00
143;*(TQ) Office of Acquisition (ABOLISHED);CO;050000822mp;126;2;13/10/2004 00.00;13/10/2004 00.00;18/10/2004 00.00;15/11/2004 00.00;18/11/2004 00.00
144;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570185;100;2;12/11/2004 00.00;15/11/2004 00.00;15/11/2004 00.00;29/11/2004 00.00;07/12/2004 00.00
145;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570185;100;2;12/11/2004 00.00;15/11/2004 00.00;15/11/2004 00.00;29/11/2004 00.00;07/12/2004 00.00
146;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570185;100;2;12/11/2004 00.00;15/11/2004 00.00;15/11/2004 00.00;29/11/2004 00.00;11/01/2005 00.00
147;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570185;100;2;12/11/2004 00.00;15/11/2004 00.00;15/11/2004 00.00;29/11/2004 00.00;07/12/2004 00.00
148;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570185;100;2;12/11/2004 00.00;15/11/2004 00.00;15/11/2004 00.00;29/11/2004 00.00;07/12/2004 00.00
149;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570185;100;2;12/11/2004 00.00;15/11/2004 00.00;15/11/2004 00.00;29/11/2004 00.00;11/01/2005 00.00
150;*(PV) Office of Real Property Asset Mgmt (ABOLISH);CO;040056809DE;15;1;29/09/2004 00.00;29/09/2004 00.00;01/10/2004 00.00;01/11/2004 00.00;09/11/2004 00.00
151;*(PV) Office of Real Property Asset Mgmt (ABOLISH);CO;040056809DE;15;1;29/09/2004 00.00;29/09/2004 00.00;01/10/2004 00.00;01/11/2004 00.00;09/11/2004 00.00
152;*(PV) Office of Real Property Asset Mgmt (ABOLISH);CO;040056809DE;15;1;29/09/2004 00.00;29/09/2004 00.00;01/10/2004 00.00;01/11/2004 00.00;09/11/2004 00.00
153;*(FLA) Product Acquisition Center (ABOLISHED);CO;050007212MP;27;1;03/12/2004 00.00;03/12/2004 00.00;09/12/2004 00.00;23/12/2004 00.00;13/01/2005 00.00
154;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;570315;4;1;09/12/2004 00.00;10/12/2004 00.00;10/12/2004 00.00;27/12/2004 00.00;06/01/2005 00.00
