NO;DEPT_DESC;DEPT_SHORT_DESC;VACANCY;APPLICATION_COUNT;HIRE_COUNT;RECEIVED_DATE;APPROVED_DATE;OPEN_DATE;CLOSE_DATE;ISSUE_DATE;REFERRAL_RETURNED;POS_OFFERED;VAC_LOCATION;HIRED_DATE;SERIES
3481;(WPG) Potomac Services Division;N;WPG235MP07;18;3;03/08/2007 00.00;13/08/2007 00.00;13/08/2007 00.00;24/08/2007 00.00;30/11/2007 10.28;26/12/2007;26/12/2007;Washington DC Metro Area, DC;28/01/2008 00.00;1176M
3482;(PMA) Office of Energy and Environment;CO;080000803DE;12;1;01/11/2007 00.00;01/11/2007 00.00;02/11/2007 00.00;19/11/2007 00.00;06/12/2007 15.29;18/01/2008;29/01/2008;Washington DC Metro Area, DC;29/01/2008 00.00;0808A
3483;(PF) PBS/Office of Budget & Financial Management;CO;080002803MP-AMEND;8;1;19/12/2007 00.00;19/12/2007 00.00;20/12/2007 00.00;23/01/2008 00.00;25/01/2008 17.06;31/01/2008;01/02/2008;Washington DC Metro Area, DC;01/02/2008 00.00;0501E
3484;(6PR) Realty Services Division;6;080602009MP;3;1;19/12/2007 00.00;08/01/2008 00.00;10/01/2008 00.00;24/01/2008 00.00;25/01/2008 16.17;01/02/2008;01/02/2008;St Louis Metro Area, MO;01/02/2008 00.00;1170A
3485;(WP) Office of Asst. Regional Administrator- PBS;N;WP194MP07;158;2;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.37;19/12/2007;27/12/2007;Washington DC Metro Area, DC;03/02/2008 00.00;0301AZ
3486;(8P) Office of the Assist. Regional Administrator- PBS;8;0708013CFMP;18;1;23/08/2007 00.00;24/08/2007 00.00;27/08/2007 00.00;11/09/2007 00.00;26/11/2007 20.53;06/12/2007;28/12/2007;Denver [Includes Lakewood], CO;03/02/2008 00.00;0301CH
3487;Region 03 - Mid-Atlantic Region;3;0830031DLMP;2;2;17/01/2008 00.00;17/01/2008 00.00;28/01/2008 00.00;08/02/2008 00.00;14/02/2008 11.38;14/02/2008;14/01/2008;Alexandria & Arlington & Falls Church [Includes Ft. Myer & Rosslyn VA], VA;14/02/2008 00.00;0501Z
3488;Region 03 - Mid-Atlantic Region;3;0830031DLMP;2;2;17/01/2008 00.00;17/01/2008 00.00;28/01/2008 00.00;08/02/2008 00.00;14/02/2008 11.38;14/02/2008;14/02/2008;Alexandria & Arlington & Falls Church [Includes Ft. Myer & Rosslyn VA], VA;14/02/2008 00.00;0501Z
3489;*(6BC) Pyrll-Acctg & Fin Svcs-Hrtlnd Ctr (ABOLISH);6;080602309MP;22;1;08/01/2008 00.00;09/01/2008 00.00;10/01/2008 00.00;24/01/2008 00.00;29/01/2008 09.12;15/02/2008;15/02/2008;Kansas City Metro Area, MO;15/02/2008 00.00;0510A
3490;(7P) Office of the Assist. Regional Administrator- PBS;7;0707006TMMP;46;1;18/07/2007 00.00;19/07/2007 00.00;20/07/2007 00.00;03/08/2007 00.00;17/08/2007 10.02;30/11/2007;30/11/2007;Fort Worth, TX;17/02/2008 00.00;1170A
3491;(7P) Office of the Assist. Regional Administrator- PBS;7;0707006TMMP;46;1;18/07/2007 00.00;19/07/2007 00.00;20/07/2007 00.00;03/08/2007 00.00;17/08/2007 10.07;30/11/2007;30/11/2007;Fort Worth, TX;17/02/2008 00.00;1170A
3492;(Z) Office of the Commissioner-Federal Acquisition Service;CO;080003219MP;5;1;28/11/2007 00.00;20/12/2007 00.00;04/01/2008 00.00;18/01/2008 00.00;24/01/2008 17.29;06/02/2008;07/02/2008;Continental United States Throughout [excludes Alaska & Hawaii], US;17/02/2008 00.00;2150A
3493;*(7BC)Acctg & Financial Svcs-Grtr SW Ctr( ABOLISH);7;0807022TMMP;5;1;22/01/2008 00.00;22/01/2008 00.00;23/01/2008 00.00;06/02/2008 00.00;11/02/2008 10.06;12/02/2008;12/02/2008;Fort Worth, TX;17/02/2008 00.00;0510A
3494;(Z) Office of the Commissioner-Federal Acquisition Service;CO;0800012TC03;13;9;17/12/2007 00.00;17/12/2007 00.00;07/01/2008 00.00;22/01/2008 00.00;24/01/2008 08.13;11/02/2008;13/02/2008;Arlington ,VA;17/02/2008 00.00;2150D
3495;(2P) Office of Asst Regional Administrator- PBS;2;720891;33;1;26/07/2007 00.00;26/07/2007 00.00;02/08/2007 00.00;15/08/2007 00.00;17/08/2007 11.17;10/01/2008;10/01/2008;Syracuse, NY;18/02/2008 00.00;1102F
3496;(2P) Office of Asst Regional Administrator- PBS;2;720891;33;1;26/07/2007 00.00;26/07/2007 00.00;02/08/2007 00.00;15/08/2007 00.00;17/08/2007 11.17;10/01/2008;10/01/2008;Syracuse, NY;18/02/2008 00.00;1102F
3497;(2P) Office of Asst Regional Administrator- PBS;2;720891;33;1;26/07/2007 00.00;26/07/2007 00.00;02/08/2007 00.00;15/08/2007 00.00;17/08/2007 11.17;10/01/2008;10/01/2008;Syracuse, NY;18/02/2008 00.00;1102F
3498;(2P) Office of Asst Regional Administrator- PBS;2;720891;33;1;26/07/2007 00.00;26/07/2007 00.00;02/08/2007 00.00;15/08/2007 00.00;17/08/2007 11.17;10/01/2008;10/01/2008;Syracuse, NY;18/02/2008 00.00;1102F
3499;Region 03 - Mid-Atlantic Region;3;0830034DLMP;2;1;24/01/2008 00.00;04/02/2008 00.00;04/02/2008 00.00;15/02/2008 00.00;19/02/2008 15.41;19/02/2008;19/02/2008;Alexandria & Arlington & Falls Church [Includes Ft. Myer & Rosslyn VA], VA;19/02/2008 00.00;0303C
3500;Region 03 - Mid-Atlantic Region;3;0830034DLMP;2;1;24/01/2008 00.00;04/02/2008 00.00;04/02/2008 00.00;15/02/2008 00.00;19/02/2008 15.41;19/02/2008;19/02/2008;Alexandria & Arlington & Falls Church [Includes Ft. Myer & Rosslyn VA], VA;19/02/2008 00.00;0303C
3501;(6PF) Facilities Management Division;6;080601809MP;15;1;13/12/2007 00.00;14/12/2007 00.00;18/12/2007 00.00;02/01/2008 00.00;03/01/2008 14.36;11/01/2008;20/02/2008;St Louis Metro Area, MO;20/02/2008 00.00;1101K
3502;(6PF) Facilities Management Division;6;080601809MP;15;1;13/12/2007 00.00;14/12/2007 00.00;18/12/2007 00.00;02/01/2008 00.00;03/01/2008 14.36;20/02/2008;20/02/2008;St Louis Metro Area, MO;20/02/2008 00.00;1101K
3503;*(9FG) Govt Wide Acquisition Contract Ctr (ABOLISH;9;891286;4;1;14/01/2008 00.00;17/01/2008 00.00;18/01/2008 00.00;01/02/2008 00.00;12/02/2008 15.57;22/02/2008;22/02/2008;San Francisco County, CA;22/02/2008 00.00;1102G
3504;Region 03 - Mid-Atlantic Region;3;0830027DLMP;3;1;09/01/2008 00.00;09/01/2008 00.00;16/01/2008 00.00;30/01/2008 00.00;05/02/2008 13.33;27/02/2008;27/02/2008;Philadelphia Metro Area, PA;27/02/2008 00.00;2150A
3505;Region 06 - The Heartland Region;6;080601609DE;65;1;04/01/2008 00.00;04/01/2008 00.00;08/01/2008 00.00;22/01/2008 00.00;25/01/2008 13.53;28/02/2008;28/02/2008;Kansas City Metro Area, MO;28/02/2008 00.00;2210I
3506;(WPG) Potomac Services Division;N;WPG235MP07;18;3;03/08/2007 00.00;13/08/2007 00.00;13/08/2007 00.00;24/08/2007 00.00;30/11/2007 10.31;26/12/2007;26/12/2007;Washington DC Metro Area, DC;02/03/2008 00.00;1176M
3507;(7P) Office of the Assist. Regional Administrator- PBS;7;0807001TMMP;112;1;07/11/2007 00.00;08/11/2007 00.00;09/11/2007 00.00;23/11/2007 00.00;29/11/2007 17.01;18/12/2007;15/01/2008;Fort Worth, TX;02/03/2008 00.00;1105B
3508;(7P) Office of the Assist. Regional Administrator- PBS;7;0807001TMMP;112;1;07/11/2007 00.00;08/11/2007 00.00;09/11/2007 00.00;23/11/2007 00.00;29/11/2007 17.10;18/12/2007;15/01/2008;Fort Worth, TX;02/03/2008 00.00;1105B
3509;(7P) Office of the Assist. Regional Administrator- PBS;7;0707023TMMP;37;2;02/11/2007 00.00;05/11/2007 00.00;06/11/2007 00.00;20/11/2007 00.00;27/11/2007 11.14;06/02/2008;06/02/2008;Dallas, TX;02/03/2008 00.00;1102F
3510;(WPG) Potomac Services Division;N;WPG236MP07;54;3;03/08/2007 00.00;17/12/2007 00.00;19/12/2007 00.00;18/01/2008 00.00;07/02/2008 14.53;14/02/2008;16/02/2008;Washington DC Metro Area, DC;02/03/2008 00.00;1176M
3511;(WPG) Potomac Services Division;N;WPG236MP07;54;3;03/08/2007 00.00;17/12/2007 00.00;19/12/2007 00.00;18/01/2008 00.00;07/02/2008 14.53;14/03/2008;16/02/2008;Washington DC Metro Area, DC;02/03/2008 00.00;1176M
3512;(WPJ) DC Services Division;N;WPJ230MP07;13;4;01/08/2006 00.00;15/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;04/12/2007 12.57;21/02/2008;22/02/2008;Washington DC Metro Area, DC;02/03/2008 00.00;1176M
3513;(WPJ) DC Services Division;N;WPJ230MP07;13;4;01/08/2006 00.00;15/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;24/01/2008 12.12;21/02/2008;22/02/2008;Washington DC Metro Area, DC;02/03/2008 00.00;1176M
3514;(8PC) Colorado Service Center;8;0808002CFMP;2;1;13/12/2007 00.00;14/12/2007 00.00;17/12/2007 00.00;04/01/2008 00.00;23/01/2008 17.04;27/02/2008;27/02/2008;Boulder, CO;02/03/2008 00.00;1101BA
3515;(Z) Office of the Commissioner-Federal Acquisition Service;CO;0800027TC04;10;1;31/01/2008 00.00;13/02/2008 00.00;31/01/2008 00.00;13/02/2008 00.00;15/02/2008 09.04;21/02/2008;28/02/2008;Arlington, VA;02/03/2008 00.00;0301FX
3516;(Z) Office of the Commissioner-Federal Acquisition Service;CO;0700027TC02;3;1;08/08/2007 00.00;08/08/2007 00.00;23/08/2007 00.00;06/09/2007 00.00;12/02/2008 08.01;28/02/2008;28/02/2008;Fairfax,  VA;02/03/2008 00.00;2210E
3517;(Z) Office of the Commissioner-Federal Acquisition Service;CO;0800027TC04;10;1;31/01/2008 00.00;13/02/2008 00.00;31/01/2008 00.00;13/02/2008 00.00;15/02/2008 09.04;28/02/2008;28/02/2008;Arlington, VA;02/03/2008 00.00;0301FX
3518;*(7F) Office of the Assistant RA- FSS (ABOLISHED);7;0807011ACMP;3;1;28/01/2008 00.00;29/01/2008 00.00;30/01/2008 00.00;13/02/2008 00.00;15/02/2008 16.05;28/02/2008;29/02/2008;Fort Worth, TX;02/03/2008 00.00;1104A
3519;(7P) Office of the Assist. Regional Administrator- PBS;7;0707018GCMP;16;2;23/03/2007 00.00;26/03/2007 00.00;07/08/2007 00.00;21/08/2007 00.00;30/08/2007 15.32;25/10/2007;25/10/2007;Fort Worth, TX;03/03/2008 00.00;0809A
3520;(Z) Office of the Commissioner-Federal Acquisition Service;CO;0800011TC02;23;2;28/08/2007 00.00;28/08/2007 00.00;06/12/2007 00.00;20/12/2007 00.00;21/12/2007 12.21;11/02/2008;13/02/2008;Fairfax, VA;03/03/2008 00.00;0391H
3521;(WP) Office of Asst. Regional Administrator- PBS;N;WP039DE08;17;1;19/12/2007 00.00;20/12/2007 00.00;21/12/2007 00.00;08/01/2008 00.00;14/01/2008 14.33;26/02/2008;26/02/2008;Washington DC Metro Area, DC;03/03/2008 00.00;1101AJ
3522;(PF) PBS/Office of Budget & Financial Management;CO;080003803MP;3;1;11/01/2008 00.00;11/01/2008 00.00;14/01/2008 00.00;28/01/2008 00.00;01/02/2008 14.04;03/03/2008;03/03/2008;Washington DC Metro Area, DC;03/03/2008 00.00;0501E
3523;(7P) Office of the Assist. Regional Administrator- PBS;7;0707039TMDE;118;1;08/08/2007 00.00;09/08/2007 00.00;10/08/2007 00.00;24/08/2007 00.00;30/08/2007 09.24;18/09/2007;25/11/2008;Fort Worth, TX;03/03/2008 00.00;1171A
3524;(7P) Office of the Assist. Regional Administrator- PBS;7;0707039TMDE;118;1;08/08/2007 00.00;09/08/2007 00.00;10/08/2007 00.00;24/08/2007 00.00;30/08/2007 09.30;18/09/2007;25/11/2008;Fort Worth, TX;03/03/2008 00.00;1171A
3525;(PF) PBS/Office of Budget & Financial Management;CO;080003903MP;11;1;11/01/2008 00.00;11/01/2008 00.00;14/01/2008 00.00;28/01/2008 00.00;01/02/2008 12.59;06/03/2008;06/03/2008;Site to be determined after selection is made., US;06/03/2008 00.00;0501E
3526;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2006;27/12/2007;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3527;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2006;27/12/2007;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3528;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2006;27/12/2007;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3529;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2007;27/12/2007;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3530;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2007;27/12/2007;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3531;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2007;27/12/2007;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3532;(Z) Office of the Commissioner-Federal Acquisition Service;CO;0800011TC02;23;2;28/08/2007 00.00;28/08/2007 00.00;06/12/2007 00.00;20/12/2007 00.00;21/12/2007 11.58;11/02/2008;13/02/2008;Fairfax, VA;16/03/2008 00.00;0391H
3533;(7P) Office of the Assist. Regional Administrator- PBS;7;0807002TMMP;30;2;20/11/2007 00.00;21/11/2007 00.00;23/11/2007 00.00;07/12/2007 00.00;17/12/2007 15.36;25/02/2008;13/02/2008;Fort Worth, TX;16/03/2008 00.00;0303D
3534;(7P) Office of the Assist. Regional Administrator- PBS;7;0807002TMMP;30;2;20/11/2007 00.00;21/11/2007 00.00;23/11/2007 00.00;07/12/2007 00.00;17/12/2007 15.39;25/02/2008;13/02/2008;Fort Worth, TX;16/03/2008 00.00;0303D
3535;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2006;28/02/2008;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3536;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2007;28/02/2008;Washington DC Metro Area, DC;16/03/2008 00.00;0301AZ
3537;(Z) Office of the Commissioner-Federal Acquisition Service;CO;080004419MP;5;1;16/01/2008 00.00;23/01/2008 00.00;24/01/2008 00.00;07/02/2008 00.00;20/02/2008 13.55;29/02/2008;29/02/2008;Arlington, VA;16/03/2008 00.00;1101I
3538;(6PF) Facilities Management Division;6;080601609MP;18;1;07/12/2007 00.00;11/12/2007 00.00;14/12/2007 00.00;14/01/2008 00.00;16/01/2008 15.08;06/03/2008;06/03/2008;Des Moines Metro Area, IA;16/03/2008 00.00;1176M
3539;(7P) Office of the Assist. Regional Administrator- PBS;7;0807016ACMP;10;1;19/12/2007 00.00;20/12/2007 00.00;21/12/2007 00.00;07/01/2008 00.00;04/02/2008 01.55;07/03/2008;07/03/2008;Dallas, TX;16/03/2008 00.00;1101H
3540;(7P) Office of the Assist. Regional Administrator- PBS;7;0807015TMMP;30;1;12/12/2007 00.00;13/12/2007 00.00;14/12/2007 00.00;18/01/2008 00.00;28/01/2008 16.05;10/03/2008;10/03/2008;Fort Worth, TX;16/03/2008 00.00;1101B
3541;(7P) Office of the Assist. Regional Administrator- PBS;7;0807021TMMP;2;1;28/01/2008 00.00;29/01/2008 00.00;30/01/2008 00.00;13/02/2008 00.00;25/02/2008 12.00;10/03/2008;10/03/2008;Fort Worth, TX;16/03/2008 00.00;0810B
3542;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2006;27/12/2007;Washington DC Metro Area, DC;17/03/2008 00.00;0301AZ
3543;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2006;27/12/2007;Washington DC Metro Area, DC;17/03/2008 00.00;0301AZ
3544;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2007;27/12/2007;Washington DC Metro Area, DC;17/03/2008 00.00;0301AZ
3545;(WP) Office of Asst. Regional Administrator- PBS;N;WP194DE07;382;3;25/06/2007 00.00;10/07/2007 00.00;11/07/2007 00.00;24/07/2007 00.00;05/09/2007 12.34;19/12/2007;27/12/2007;Washington DC Metro Area, DC;17/03/2008 00.00;0301AZ
3546;(WPJ) DC Services Division;N;WPJ230DE07;53;2;25/07/2007 00.00;07/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;04/12/2007 12.46;21/02/2008;21/02/2008;Washington DC Metro Area, DC;17/03/2008 00.00;1176M
3547;(WPJ) DC Services Division;N;WPJ230DE07;53;2;25/07/2007 00.00;07/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;24/01/2008 12.06;21/02/2008;21/02/2008;Washington DC Metro Area, DC;17/03/2008 00.00;1176M
3548;(WPJ) DC Services Division;N;WPJ230MP07;13;4;01/08/2006 00.00;15/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;04/12/2007 12.57;21/02/2008;25/02/2008;Washington DC Metro Area, DC;24/03/2008 00.00;1176M
3549;(WPJ) DC Services Division;N;WPJ230MP07;13;4;01/08/2006 00.00;15/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;04/12/2007 12.57;21/02/2008;25/02/2008;Washington DC Metro Area, DC;24/03/2008 00.00;1176M
3550;(WPJ) DC Services Division;N;WPJ230MP07;13;4;01/08/2006 00.00;15/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;24/01/2008 12.12;21/02/2008;25/02/2008;Washington DC Metro Area, DC;24/03/2008 00.00;1176M
3551;(WPJ) DC Services Division;N;WPJ230MP07;13;4;01/08/2006 00.00;15/08/2007 00.00;17/08/2007 00.00;31/08/2007 00.00;24/01/2008 12.12;21/02/2008;25/02/2008;Washington DC Metro Area, DC;24/03/2008 00.00;1176M
3552;*(PQ)Ofc of Nat'l Customer Service Mgmt (ABOLISH);CO;080004703MP;6;1;12/02/2008 00.00;12/02/2008 00.00;13/02/2008 00.00;27/02/2008 00.00;04/03/2008 14.27;21/03/2008;21/03/2008;Washington DC Metro Area, DC;24/03/2008 00.00;0301BN
3553;*(PQ)Ofc of Nat'l Customer Service Mgmt (ABOLISH);CO;080004703MP;6;1;12/02/2008 00.00;12/02/2008 00.00;13/02/2008 00.00;27/02/2008 00.00;04/03/2008 15.10;21/03/2008;21/03/2008;Washington DC Metro Area, DC;24/03/2008 00.00;0301BN
3554;Multiple Region Announcements -GSA;MRA-GSA;0800029TC02;22;1;18/01/2008 00.00;07/02/2008 00.00;11/02/2008 00.00;25/02/2008 00.00;27/02/2008 13.09;24/03/2008;24/03/2008;Fort Worth, TX;24/03/2008 00.00;2210B
3555;Multiple Region Announcements -GSA;MRA-GSA;0800029TC02;22;1;18/01/2008 00.00;07/02/2008 00.00;11/02/2008 00.00;25/02/2008 00.00;27/02/2008 13.09;24/03/2008;24/03/2008;Kansas City Metro Area, MO;24/03/2008 00.00;2210B
3556;Multiple Region Announcements -GSA;MRA-GSA;0800029TC02;22;1;18/01/2008 00.00;07/02/2008 00.00;11/02/2008 00.00;25/02/2008 00.00;27/02/2008 13.09;24/03/2008;24/03/2008;Washington DC Metro Area, DC;24/03/2008 00.00;2210B
3557;(WPG) Potomac Services Division;N;WPG236MP07;54;3;03/08/2007 00.00;17/12/2007 00.00;19/12/2007 00.00;18/01/2008 00.00;07/02/2008 14.53;14/02/2008;28/03/2008;Washington DC Metro Area, DC;28/03/2008 00.00;1176M
3558;(WPG) Potomac Services Division;N;WPG236MP07;54;3;03/08/2007 00.00;17/12/2007 00.00;19/12/2007 00.00;18/01/2008 00.00;07/02/2008 14.53;14/03/2008;28/03/2008;Washington DC Metro Area, DC;28/03/2008 00.00;1176M
3559;(7P) Office of the Assist. Regional Administrator- PBS;7;0707007GCMP;17;1;11/12/2007 00.00;12/12/2007 00.00;13/12/2007 00.00;31/12/2007 00.00;04/02/2008 01.04;07/03/2008;07/03/2008;Fort Worth, TX;30/03/2008 00.00;1101H
3560;(B) Office of the Chief Financial Officer;CO;0800032TC02;3;1;06/02/2008 00.00;06/02/2008 00.00;27/02/2008 00.00;11/03/2008 00.00;12/03/2008 10.44;20/03/2008;20/03/2008;Fort Worth, TX;30/03/2008 00.00;2210AQ
3561;(6PT) Portfolio Management Division;6;080603609MP;2;1;20/02/2008 00.00;19/02/2008 00.00;21/02/2008 00.00;05/03/2008 00.00;06/03/2008 09.31;21/03/2008;21/03/2008;Kansas City Metro Area, MO;30/03/2008 00.00;1101AT
3562;*(5F) Office of the Assist. RA- FSS (ABOLISHED);5;0805027COMP;3;1;06/02/2008 00.00;06/02/2008 00.00;08/02/2008 00.00;21/02/2008 00.00;22/02/2008 11.37;25/03/2008;25/03/2008;Chicago Metro Area, IL;30/03/2008 00.00;0301GA
3563;(7P) Office of the Assist. Regional Administrator- PBS;7;0807027CFMP;2;1;13/02/2008 00.00;14/02/2008 00.00;15/02/2008 00.00;03/03/2008 00.00;10/03/2008 18.30;24/03/2008;26/03/2008;San Antonio [Includes Brooks AFB & Randolph AFB], TX;30/03/2008 00.00;1176M
3564;(6PF) Facilities Management Division;6;080601504DE;6;1;20/08/2007 00.00;04/01/2008 00.00;18/01/2008 00.00;15/02/2008 00.00;20/02/2008 11.11;27/03/2008;31/03/2008;Kansas City Metro Area, MO;31/03/2008 00.00;0804A
